OrderID,CustomerID,OrderDate,OrderTotal,NumLines,TotalQuantity,SalespersonID,Year,Quarter
50000,1324,2023-03-01,1534.79,5,7,17,2023,1
50013,1196,2023-01-05,293.92,3,3,9,2023,1
50016,1191,2023-01-15,241.65,4,5,8,2023,1
50041,1206,2023-01-20,535.56,6,6,19,2023,1
50049,1405,2023-02-08,34.15,1,1,24,2023,1
50053,1319,2023-02-19,1189.35,5,12,15,2023,1
50054,1304,2023-02-19,246.02,2,2,8,2023,1
50057,1010,2023-02-19,383.7,3,6,25,2023,1
50065,1322,2023-01-10,946.24,2,3,10,2023,1
50084,1082,2023-02-10,712.99,5,8,8,2023,1
50089,1001,2023-01-14,278.12,2,2,9,2023,1
50104,1447,2023-02-10,1559.01,3,5,8,2023,1
50111,1455,2023-02-16,836.45,4,6,26,2023,1
50131,1371,2023-03-02,119.92,3,3,14,2023,1
50140,1313,2023-01-30,2235.87,4,6,4,2023,1
50146,1225,2023-02-17,467.91,5,5,2,2023,1
50167,1027,2023-01-12,502.71,3,4,2,2023,1
50172,1084,2023-03-18,570.63,4,6,18,2023,1
50180,1120,2023-03-22,329.84,2,2,26,2023,1
50191,1281,2023-01-01,235.09,2,4,24,2023,1
50211,1113,2023-01-03,694.55,3,6,11,2023,1
50231,1212,2023-02-17,469.69,2,3,1,2023,1
50240,1376,2023-02-19,302.86,3,3,17,2023,1
50288,1054,2023-01-26,102.99,1,1,26,2023,1
50296,1429,2023-03-05,493.58,4,7,30,2023,1
50312,1340,2023-02-18,245.82,3,5,28,2023,1
50318,1027,2023-01-14,833.45,6,7,28,2023,1
50348,1305,2023-02-22,227.47,2,2,19,2023,1
50354,1183,2023-03-16,779.14,4,7,11,2023,1
50358,1266,2023-03-11,724.18,5,5,23,2023,1
50372,1332,2023-01-10,761.26,4,5,5,2023,1
50377,1124,2023-02-10,1087.78,3,4,27,2023,1
50383,1144,2023-01-26,1337.5,5,6,26,2023,1
50392,1263,2023-03-26,2107.53,4,7,13,2023,1
50408,1481,2023-03-15,130.01,2,2,19,2023,1
50410,1078,2023-01-25,144.4,2,3,6,2023,1
50412,1169,2023-02-08,237.71,3,3,23,2023,1
50413,1044,2023-03-17,11.59,1,1,8,2023,1
50416,1285,2023-03-14,166.36,1,1,22,2023,1
50422,1161,2023-01-18,2781.81,6,10,10,2023,1
50430,1434,2023-03-16,787.38,3,4,27,2023,1
50450,1490,2023-01-12,3178.44,5,12,24,2023,1
50453,1063,2023-02-12,925.14,4,6,28,2023,1
50457,1484,2023-03-29,1623.6,2,4,2,2023,1
50474,1281,2023-03-16,1008.4,6,8,6,2023,1
50493,1086,2023-01-05,153.12,1,2,16,2023,1
50515,1038,2023-01-20,763.69,3,3,25,2023,1
50517,1323,2023-02-01,2400.88,3,8,13,2023,1
50521,1108,2023-02-07,148.26,2,4,2,2023,1
50549,1118,2023-03-06,1334.87,4,6,21,2023,1
50551,1119,2023-02-13,503.06,3,4,21,2023,1
50556,1451,2023-02-17,434.64,3,3,11,2023,1
50580,1117,2023-03-20,689.27,3,3,18,2023,1
50595,1210,2023-01-23,2743.98,3,6,16,2023,1
50596,1124,2023-02-14,922.06,1,2,8,2023,1
50600,1262,2023-02-10,36.74,1,2,7,2023,1
50602,1075,2023-02-27,516.5,2,3,7,2023,1
50607,1326,2023-01-20,1073.4,6,6,29,2023,1
50611,1484,2023-03-29,128.53,2,2,28,2023,1
50637,1307,2023-02-09,290.93,2,2,22,2023,1
50649,1447,2023-02-14,677.68,4,7,29,2023,1
50672,1266,2023-01-08,2862.14,6,8,26,2023,1
50725,1224,2023-01-11,1630.31,5,8,5,2023,1
50729,1099,2023-02-04,662.36,3,4,1,2023,1
50734,1345,2023-02-06,489.35,4,7,15,2023,1
50736,1335,2023-01-01,268.77,3,3,30,2023,1
50743,1265,2023-01-16,1529.09,4,7,26,2023,1
50754,1294,2023-01-05,155.68,3,5,24,2023,1
50774,1441,2023-01-29,733.16,4,5,20,2023,1
50776,1132,2023-03-11,783.25,4,8,18,2023,1
50808,1471,2023-03-22,1160.11,3,7,19,2023,1
50813,1490,2023-02-13,892.72,3,5,1,2023,1
50834,1352,2023-01-09,541.32,4,7,19,2023,1
50863,1412,2023-01-10,396.64,4,5,4,2023,1
50875,1083,2023-03-03,3414.21,6,12,22,2023,1
50897,1228,2023-03-22,76.56,1,1,4,2023,1
50907,1464,2023-03-15,672.41,5,5,16,2023,1
50932,1027,2023-01-27,338.36,3,4,17,2023,1
50937,1079,2023-03-28,1872.0,3,8,19,2023,1
50945,1014,2023-02-05,1230.67,6,6,25,2023,1
50968,1005,2023-01-01,334.22,4,6,7,2023,1
50973,1273,2023-01-09,688.51,4,6,11,2023,1
51000,1436,2023-03-12,1439.6,6,9,3,2023,1
51023,1405,2023-02-02,2064.76,3,5,19,2023,1
51024,1169,2023-03-24,840.12,2,4,29,2023,1
51049,1372,2023-02-13,1134.26,3,6,29,2023,1
51055,1454,2023-02-23,3531.03,3,8,14,2023,1
51064,1124,2023-01-10,2353.85,4,5,9,2023,1
51065,1496,2023-02-13,323.56,3,3,22,2023,1
51075,1320,2023-03-03,809.42,4,4,15,2023,1
51090,1128,2023-02-10,341.22,2,2,16,2023,1
51111,1094,2023-01-20,157.16,2,3,24,2023,1
51127,1337,2023-03-10,150.39,1,3,23,2023,1
51142,1367,2023-03-14,79.85,2,2,17,2023,1
51155,1270,2023-02-11,1119.84,1,3,14,2023,1
51156,1375,2023-03-14,249.3,5,5,27,2023,1
51198,1305,2023-01-17,676.35,4,4,18,2023,1
51220,1375,2023-03-21,65.31,1,1,12,2023,1
51228,1153,2023-02-08,407.63,4,5,23,2023,1
51241,1475,2023-01-12,195.91,2,2,14,2023,1
51245,1268,2023-02-12,1131.2,3,5,4,2023,1
51250,1078,2023-02-21,3083.16,6,9,17,2023,1
51259,1172,2023-03-26,1483.61,5,9,18,2023,1
51261,1381,2023-02-20,224.47,2,2,12,2023,1
51263,1134,2023-03-29,1275.55,4,6,25,2023,1
51297,1378,2023-02-25,343.4,2,5,15,2023,1
51315,1342,2023-01-19,2158.83,3,6,19,2023,1
51318,1269,2023-02-14,418.02,3,3,17,2023,1
51323,1138,2023-02-24,1830.84,3,8,15,2023,1
51325,1483,2023-01-09,327.16,2,2,19,2023,1
51331,1055,2023-01-20,2402.24,5,8,5,2023,1
51344,1011,2023-02-10,94.17,2,2,20,2023,1
51354,1415,2023-03-05,333.4,3,3,15,2023,1
51387,1162,2023-03-11,702.34,3,3,12,2023,1
51393,1372,2023-01-31,1306.04,4,7,6,2023,1
51404,1094,2023-01-27,129.7,2,2,14,2023,1
51422,1115,2023-02-03,796.04,2,3,10,2023,1
51424,1496,2023-01-16,498.76,5,7,9,2023,1
51437,1397,2023-02-12,4276.62,4,10,29,2023,1
51450,1449,2023-02-13,670.22,3,6,19,2023,1
51457,1492,2023-02-20,223.61,1,1,19,2023,1
51465,1470,2023-02-25,1179.43,3,3,13,2023,1
51490,1185,2023-03-29,423.57,2,2,20,2023,1
51496,1194,2023-02-14,561.66,2,5,18,2023,1
51504,1364,2023-02-22,30.35,1,1,29,2023,1
51517,1413,2023-01-06,556.13,3,3,14,2023,1
51524,1307,2023-01-07,457.01,2,3,6,2023,1
51529,1106,2023-02-20,235.73,3,4,13,2023,1
51532,1178,2023-02-07,1218.58,5,6,15,2023,1
51537,1169,2023-03-31,656.75,5,6,17,2023,1
51548,1184,2023-02-06,34.28,1,1,25,2023,1
51552,1419,2023-03-11,452.04,4,7,5,2023,1
51593,1108,2023-01-12,284.45,4,5,17,2023,1
51600,1392,2023-01-07,720.34,4,6,2,2023,1
51605,1491,2023-01-30,1572.38,5,7,11,2023,1
51611,1408,2023-02-06,53.93,1,1,22,2023,1
51629,1181,2023-03-09,459.34,2,6,11,2023,1
51642,1363,2023-02-02,221.54,3,3,9,2023,1
51651,1401,2023-02-08,856.01,5,6,7,2023,1
51670,1059,2023-01-05,1436.19,4,5,13,2023,1
51671,1159,2023-02-15,545.84,2,3,9,2023,1
51675,1239,2023-02-17,684.4,5,5,18,2023,1
51699,1087,2023-03-14,472.44,4,6,8,2023,1
51707,1196,2023-02-25,309.03,3,4,4,2023,1
51739,1015,2023-03-08,1357.42,6,10,11,2023,1
51751,1332,2023-03-14,121.13,2,2,27,2023,1
51759,1196,2023-03-09,2059.32,4,10,1,2023,1
51768,1342,2023-03-21,308.23,3,4,6,2023,1
51784,1338,2023-03-04,92.21,2,2,13,2023,1
51810,1495,2023-02-24,504.27,3,4,21,2023,1
51815,1443,2023-02-01,806.16,4,6,15,2023,1
51832,1005,2023-03-15,1115.95,3,5,21,2023,1
51833,1331,2023-01-17,476.69,2,2,26,2023,1
51858,1017,2023-02-08,540.01,2,2,14,2023,1
51868,1264,2023-03-22,214.33,2,3,1,2023,1
51887,1085,2023-02-06,503.51,4,5,28,2023,1
51899,1248,2023-03-26,84.58,2,2,2,2023,1
51906,1131,2023-01-15,371.41,3,5,11,2023,1
51944,1222,2023-01-13,11.39,1,1,12,2023,1
51949,1349,2023-02-12,204.57,4,4,30,2023,1
51971,1034,2023-01-13,342.18,1,1,24,2023,1
51978,1017,2023-01-25,2428.8,6,8,24,2023,1
51995,1479,2023-03-19,646.34,4,5,23,2023,1
