Year,Country,Gold,Silver,Bronze,Total Medals,Season
1896,GRE,10,20,22,52,Summer
1896,GER,26,5,2,33,Summer
1896,USA,11,7,2,20,Summer
1896,FRA,5,4,2,11,Summer
1896,GBR,2,3,2,7,Summer
1896,ZZX,2,2,2,6,Summer
1896,HUN,2,1,3,6,Summer
1896,DEN,1,2,3,6,Summer
1896,AUT,2,1,2,5,Summer
1896,SUI,1,2,0,3,Summer
1896,AUS,2,0,0,2,Summer
1900,FRA,46,86,53,185,Summer
1900,GBR,48,20,10,78,Summer
1900,USA,27,14,14,55,Summer
1900,GER,11,19,10,40,Summer
1900,BEL,5,19,15,39,Summer
1900,ZZX,18,8,8,34,Summer
1900,NED,0,5,15,20,Summer
1900,SUI,13,1,1,15,Summer
1900,NOR,0,6,3,9,Summer
1900,DEN,1,3,2,6,Summer
1900,AUT,0,3,3,6,Summer
1900,AUS,2,0,3,5,Summer
1900,HUN,1,2,2,5,Summer
1900,ITA,2,2,0,4,Summer
1900,ESP,2,0,0,2,Summer
1900,CUB,1,1,0,2,Summer
1900,CAN,1,0,1,2,Summer
1900,IND,0,2,0,2,Summer
1900,BOH,0,1,1,2,Summer
1900,SWE,0,0,1,1,Summer
1904,USA,146,137,111,394,Summer
1904,CAN,26,9,0,35,Summer
1904,GER,4,4,5,13,Summer
1904,CUB,4,2,3,9,Summer
1904,ZZX,3,5,0,8,Summer
1904,HUN,2,1,1,4,Summer
1904,GBR,1,1,0,2,Summer
1904,GRE,1,0,1,2,Summer
1904,SUI,1,0,1,2,Summer
1904,AUT,0,0,1,1,Summer
1908,GBR,144,135,68,347,Summer
1908,SWE,69,18,11,98,Summer
1908,USA,34,14,15,63,Summer
1908,CAN,17,8,26,51,Summer
1908,NOR,7,34,3,44,Summer
1908,FRA,9,5,21,35,Summer
1908,BEL,1,24,6,31,Summer
1908,FIN,1,1,27,29,Summer
1908,GER,4,11,7,22,Summer
1908,ANZ,15,2,2,19,Summer
1908,HUN,6,7,5,18,Summer
1908,DEN,0,12,3,15,Summer
1908,NED,0,0,11,11,Summer
1908,ITA,2,5,0,7,Summer
1908,BOH,0,0,5,5,Summer
1908,RU1,1,2,0,3,Summer
1908,GRE,0,3,0,3,Summer
1908,RSA,1,1,0,2,Summer
1908,AUT,0,0,1,1,Summer
1912,SWE,86,62,25,173,Summer
1912,GBR,44,58,58,160,Summer
1912,USA,45,25,31,101,Summer
1912,DEN,5,45,34,84,Summer
1912,NOR,41,6,29,76,Summer
1912,FIN,9,36,22,67,Summer
1912,GER,10,19,23,52,Summer
1912,HUN,10,17,3,30,Summer
1912,FRA,10,10,5,25,Summer
1912,NED,0,0,22,22,Summer
1912,ITA,18,1,2,21,Summer
1912,BEL,9,1,9,19,Summer
1912,AUT,0,9,5,14,Summer
1912,RU1,0,5,9,14,Summer
1912,ANZ,5,2,3,10,Summer
1912,CAN,3,2,3,8,Summer
1912,RSA,5,2,0,7,Summer
1912,GRE,1,0,1,2,Summer
1920,USA,110,45,38,193,Summer
1920,BEL,57,66,65,188,Summer
1920,SWE,53,36,57,146,Summer
1920,NOR,58,56,27,141,Summer
1920,FRA,13,73,55,141,Summer
1920,GBR,55,35,17,107,Summer
1920,ITA,68,9,7,84,Summer
1920,DEN,30,44,1,75,Summer
1920,FIN,18,14,17,49,Summer
1920,NED,14,10,24,48,Summer
1920,SUI,6,2,21,29,Summer
1920,ESP,0,24,0,24,Summer
1920,RSA,3,12,6,21,Summer
1920,CAN,10,3,3,16,Summer
1920,TCH,0,0,10,10,Summer
1920,BRA,1,1,5,7,Summer
1920,AUS,0,5,1,6,Summer
1920,GRE,0,5,0,5,Summer
1920,EST,1,2,0,3,Summer
1920,JPN,0,3,0,3,Summer
1920,LUX,0,1,0,1,Summer
1920,NZL,0,0,1,1,Summer
1924,USA,110,37,51,198,Summer
1924,FRA,39,63,20,122,Summer
1924,SWE,6,25,49,80,Summer
1924,GBR,17,29,20,66,Summer
1924,SUI,13,31,21,65,Summer
1924,FIN,24,13,15,52,Summer
